"ZIP Code","Total Cases","Deaths"
"60961","184","N/A"
"60962","173","N/A"
"60963","794","N/A"
"60964","1,387","N/A"
"60966","375","N/A"
"60967","21","N/A"
"60968","132","N/A"
"60969","23","N/A"
"60970","2,055","N/A"
"60973","182","N/A"
"60974","58","N/A"
"61001","286","N/A"
"61006","518","N/A"
"61007","154","N/A"
"61008","11,442","N/A"
"61010","2,849","N/A"
"61011","841","N/A"
"61012","704","N/A"
"61013","206","N/A"
"61014","270","N/A"
"61015","270","N/A"
"61016","1,656","N/A"
"61018","307","N/A"
"61019","1,008","N/A"
"61020","1,259","N/A"
"61021","8,207","N/A"
"61024","829","N/A"
"61025","901","N/A"
"61027","11","N/A"
"61028","450","N/A"
"61030","822","N/A"
"61031","582","N/A"
"61032","10,684","N/A"
"61036","1,580","N/A"
"61037","37","N/A"
"61038","348","N/A"
"61039","261","N/A"
"61041","387","N/A"
"61042","120","N/A"
"61043","53","N/A"
"61044","67","N/A"
"61046","842","N/A"
"61047","502","N/A"
"61048","1,279","N/A"
"61049","114","N/A"
"61050","107","N/A"
"61051","406","N/A"
"61052","366","N/A"
"61053","735","N/A"
"61054","1,138","N/A"
"61057","12","N/A"
"61059","55","N/A"
"61060","394","N/A"
"61061","2,047","N/A"
"61062","579","N/A"
"61063","1,199","N/A"
"61064","1,108","N/A"
"61065","3,668","N/A"
"61067","217","N/A"
"61068","5,355","N/A"
"61070","335","N/A"
"61071","4,865","N/A"
"61072","3,680","N/A"
"61073","6,744","N/A"
"61074","1,157","N/A"
"61075","273","N/A"
"61077","28","N/A"
"61078","403","N/A"
"61079","23","N/A"
"61080","3,734","N/A"
"61081","8,068","N/A"
"61084","1,059","N/A"
"61085","865","N/A"
"61087","437","N/A"
"61088","2,084","N/A"
"61089","238","N/A"
"61091","18","N/A"
"61101","6,712","N/A"
"61102","6,163","N/A"
"61103","8,484","N/A"
"61104","5,903","N/A"
"61105","34","N/A"
"61106","14","N/A"
"61107","11,605","N/A"
"61108","11,081","N/A"
"61109","9,639","N/A"
"61110","36","N/A"
"61111","8,626","N/A"
"61112","89","N/A"
"61114","5,885","N/A"
"61115","8,099","N/A"
"61125","47","N/A"
"61126","35","N/A"
"61130","6","N/A"
"61132","23","N/A"
"61201","11,061","N/A"
"61204","49","N/A"
"61224","57","N/A"
"61230","337","N/A"
"61231","1,922","N/A"
"61232","396","N/A"
"61233","155","N/A"
"61234","401","N/A"
"61235","391","N/A"
"61236","30","N/A"
"61237","8","N/A"
"61238","885","N/A"
"61239","304","N/A"
"61240","1,764","N/A"
"61241","2,283","N/A"
"61242","294","N/A"
"61243","47","N/A"
"61244","7,334","N/A"
"61250","764","N/A"
"61251","110","N/A"
"61252","1,662","N/A"
"61254","3,388","N/A"
"61256","576","N/A"
"61257","306","N/A"
"61258","47","N/A"
"61259","205","N/A"
"61260","214","N/A"
"61261","258","N/A"
"61262","201","N/A"
"61263","225","N/A"
"61264","3,022","N/A"
"61265","13,296","N/A"
"61266","38","N/A"
"61270","2,420","N/A"
"61272","393","N/A"
"61273","957","N/A"
"61274","81","N/A"
"61275","1,330","N/A"
"61276","42","N/A"
"61277","1,100","N/A"
"61278","123","N/A"
"61279","292","N/A"
"61281","794","N/A"
"61282","2,670","N/A"
"61283","412","N/A"
"61284","583","N/A"
"61285","1,386","N/A"
"61301","3,419","N/A"
"61310","1,144","N/A"
"61311","78","N/A"
"61312","111","N/A"
"61313","87","N/A"
"61314","223","N/A"
"61315","89","N/A"
"61316","93","N/A"
"61317","113","N/A"
"61318","179","N/A"
"61319","378","N/A"
"61320","165","N/A"
"61321","98","N/A"
"61322","492","N/A"
"61323","32","N/A"
"61324","28","N/A"
"61325","295","N/A"
"61326","601","N/A"
"61327","306","N/A"
"61328","14","N/A"
"61329","391","N/A"
"61330","445","N/A"
"61332","26","N/A"
"61333","149","N/A"
"61334","200","N/A"
"61335","124","N/A"
"61336","128","N/A"
"61337","156","N/A"
"61338","111","N/A"
"61340","103","N/A"
"61341","2,563","N/A"
"61342","3,318","N/A"
"61344","108","N/A"
"61345","229","N/A"
"61346","14","N/A"
"61348","1,485","N/A"
"61349","306","N/A"
"61350","8,216","N/A"
"61353","405","N/A"
"61354","3,651","N/A"
"61356","3,486","N/A"
"61358","125","N/A"
"61359","94","N/A"
"61360","921","N/A"
"61361","367","N/A"
"61362","2,076","N/A"
"61363","64","N/A"
"61364","6,822","N/A"
"61367","213","N/A"
"61368","315","N/A"
"61369","599","N/A"
"61370","334","N/A"
"61371","21","N/A"
"61372","61","N/A"
"61373","642","N/A"
"61374","30","N/A"
"61375","241","N/A"
"61376","642","N/A"
"61377","402","N/A"
"61378","109","N/A"
"61379","391","N/A"
"61401","10,732","N/A"
"61402","670","N/A"
"61410","1,226","N/A"
"61411","107","N/A"
"61412","372","N/A"
"61413","252","N/A"
"61414","204","N/A"
"61415","461","N/A"
"61416","75","N/A"
"61417","54","N/A"
"61418","144","N/A"
"61419","33","N/A"
"61420","290","N/A"
"61421","428","N/A"
"61422","1,044","N/A"
"61423","160","N/A"
"61424","22","N/A"
"61425","80","N/A"
"61426","25","N/A"
"61427","730","N/A"
"61428","302","N/A"
"61430","222","N/A"
